"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116185958.wav","4/25/2023 14:12","Bm","A NE Pacific","11/16/2022 19:01:24",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116185958.wav","4/25/2023 14:12","Bm","B NE Pacific","11/16/2022 19:01:11",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116195958.wav","4/25/2023 14:13","Bm","B NE Pacific","11/16/2022 20:02:20",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116195958.wav","4/25/2023 14:13","Bm","A NE Pacific","11/16/2022 20:01:54",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116205958.wav","4/25/2023 14:13","Bm","A NE Pacific","11/16/2022 21:13:31",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116205958.wav","4/25/2023 14:13","Bm","B NE Pacific","11/16/2022 21:14:18",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116215958.wav","4/25/2023 14:13","Bm","B NE Pacific","11/16/2022 22:02:17",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116225958.wav","4/25/2023 14:14","Bm","B NE Pacific","11/16/2022 23:03:48",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116225958.wav","4/25/2023 14:14","Bm","A NE Pacific","11/16/2022 23:03:50",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221116235957.wav","4/25/2023 14:15","Bm","B NE Pacific","11/17/2022 0:03:13",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117005957.wav","4/25/2023 14:15","Bm","B NE Pacific","11/17/2022 1:05:24",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117005957.wav","4/25/2023 14:15","Bm","A NE Pacific","11/17/2022 1:06:24",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117025957.wav","4/25/2023 14:15","Bm","A NE Pacific","11/17/2022 3:03:57",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117025957.wav","4/25/2023 14:16","Bm","B NE Pacific","11/17/2022 3:03:57",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117045957.wav","4/25/2023 14:16","Bm","B NE Pacific","11/17/2022 5:02:33",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117045957.wav","4/25/2023 14:16","Bm","A NE Pacific","11/17/2022 5:01:51",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117055957.wav","4/25/2023 14:16","Bm","A NE Pacific","11/17/2022 6:06:03",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117055957.wav","4/25/2023 14:16","Bm","B NE Pacific","11/17/2022 6:04:58",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117065957.wav","4/25/2023 14:17","Bm","B NE Pacific","11/17/2022 7:01:43",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117065957.wav","4/25/2023 14:17","Bm","A NE Pacific","11/17/2022 7:03:05",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117075956.wav","4/25/2023 14:17","Bm","B NE Pacific","11/17/2022 8:02:35",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117075956.wav","4/25/2023 14:17","Bm","A NE Pacific","11/17/2022 8:27:55",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117085956.wav","4/25/2023 14:17","Bm","A NE Pacific","11/17/2022 9:01:57",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117085956.wav","4/25/2023 14:17","Bm","B NE Pacific","11/17/2022 9:02:46",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117095956.wav","4/25/2023 14:18","Bm","B NE Pacific","11/17/2022 10:03:35",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117095956.wav","4/25/2023 14:18","Bm","A NE Pacific","11/17/2022 10:04:50",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117105956.wav","4/25/2023 14:18","Bm","A NE Pacific","11/17/2022 11:13:40",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117105956.wav","4/25/2023 14:18","Bm","B NE Pacific","11/17/2022 11:12:10",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117125956.wav","4/25/2023 14:18","Bm","B NE Pacific","11/17/2022 13:01:32",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117145956.wav","4/25/2023 14:19","Bm","B NE Pacific","11/17/2022 15:20:23",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117155956.wav","4/25/2023 14:19","Bm","B NE Pacific","11/17/2022 16:04:45",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117165956.wav","4/25/2023 14:19","Bm","B NE Pacific","11/17/2022 17:02:38",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117175955.wav","4/25/2023 14:19","Bm","B NE Pacific","11/17/2022 18:06:47",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117185955.wav","4/25/2023 14:19","Bm","B NE Pacific","11/17/2022 19:05:19",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117195955.wav","4/25/2023 14:20","Bm","B NE Pacific","11/17/2022 20:08:24",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117212955.wav","4/25/2023 14:20","Bm","B NE Pacific","11/17/2022 21:45:19",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117215956.wav","4/25/2023 14:20","Bm","B NE Pacific","11/17/2022 22:02:07",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117225956.wav","4/25/2023 14:20","Bm","B NE Pacific","11/17/2022 23:18:13",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117235955.wav","4/25/2023 14:21","Bm","B NE Pacific","11/18/2022 0:01:40",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221117235955.wav","4/25/2023 14:21","Bm","A NE Pacific","11/18/2022 0:19:29",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118005955.wav","4/25/2023 14:21","Bm","B NE Pacific","11/18/2022 1:12:33",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118005955.wav","4/25/2023 14:21","Bm","A NE Pacific","11/18/2022 1:18:26",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118015955.wav","4/25/2023 14:21","Bm","A NE Pacific","11/18/2022 2:07:31",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118015955.wav","4/25/2023 14:21","Bm","B NE Pacific","11/18/2022 2:07:29",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118032955.wav","4/25/2023 14:22","Bm","B NE Pacific","11/18/2022 3:31:25",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118035955.wav","4/25/2023 14:22","Bm","B NE Pacific","11/18/2022 4:02:42",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118045955.wav","4/25/2023 14:23","Bm","B NE Pacific","11/18/2022 5:04:54",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118055955.wav","4/25/2023 14:23","Bm","B NE Pacific","11/18/2022 6:05:54",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118062955.wav","4/25/2023 14:23","Bm","A NE Pacific","11/18/2022 6:53:09",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118065955.wav","4/25/2023 14:24","Bm","A NE Pacific","11/18/2022 7:01:40",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_037_500Hz\1677738025.221118065955.wav","4/25/2023 14:24","Bm","B NE Pacific","11/18/2022 7:02:22",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
