"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210610220922.wav","3/14/2023 12:22","Bm","D","6/10/2021 22:10:57",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210610235722.wav","3/14/2023 12:23","Bm","D","6/11/2021 0:00:18",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611013322.wav","3/14/2023 12:40","Bm","D","6/11/2021 1:35:36",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611013322.wav","3/14/2023 12:40","Bm","B NE Pacific","6/11/2021 1:35:36",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611022122.wav","3/14/2023 12:40","Bm","D","6/11/2021 2:25:08",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611033322.wav","3/14/2023 12:40","Bm","D","6/11/2021 3:33:36",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611040922.wav","3/14/2023 12:41","Bm","D","6/11/2021 4:12:40",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611050922.wav","3/14/2023 12:41","Bm","D","6/11/2021 5:09:42",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611055722.wav","3/14/2023 12:43","Bm","B NE Pacific","6/11/2021 5:58:52",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611065722.wav","3/14/2023 12:52","Bm","B NE Pacific","6/11/2021 6:58:21",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611065722.wav","3/14/2023 12:55","Bm","D","6/11/2021 6:59:29",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611074522.wav","3/14/2023 12:55","Bm","D","6/11/2021 7:45:59",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611075722.wav","3/14/2023 12:56","Bm","B NE Pacific","6/11/2021 8:00:20",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611082122.wav","3/14/2023 12:56","Bm","D","6/11/2021 8:23:29",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611102122.wav","3/14/2023 12:57","Bm","B NE Pacific","6/11/2021 10:23:55",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611105722.wav","3/14/2023 12:59","Bm","D","6/11/2021 10:59:58",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611105722.wav","3/14/2023 13:00","Bm","A NE Pacific","6/11/2021 11:02:11",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_007_500Hz\5318.210611114522.wav","3/14/2023 13:01","Bm","D","6/11/2021 11:47:12",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
