"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728185958.wav","4/18/2023 15:06","Bm","B NE Pacific","7/28/2022 19:03:07",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728194457.wav","4/18/2023 15:07","Bm","B NE Pacific","7/28/2022 20:00:50",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728194457.wav","4/18/2023 15:07","Bm","A NE Pacific","7/28/2022 20:03:40",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728211457.wav","4/18/2023 15:07","Bm","B NE Pacific","7/28/2022 21:17:40",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728211457.wav","4/18/2023 15:08","Bm","A NE Pacific","7/28/2022 21:24:21",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728222227.wav","4/18/2023 15:08","Bm","A NE Pacific","7/28/2022 22:29:10",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728222227.wav","4/18/2023 15:08","Bm","B NE Pacific","7/28/2022 22:28:17",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220728224457.wav","4/18/2023 15:08","Bm","B NE Pacific","7/28/2022 23:06:03",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729001456.wav","4/18/2023 15:08","Bm","B NE Pacific","7/29/2022 0:25:51",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729003726.wav","4/18/2023 15:09","Bm","A NE Pacific","7/29/2022 0:50:12",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729005956.wav","4/18/2023 15:09","Bm","B NE Pacific","7/29/2022 1:03:33",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729012226.wav","4/18/2023 15:09","Bm","A NE Pacific","7/29/2022 1:41:44",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729020726.wav","4/18/2023 15:09","Bm","B NE Pacific","7/29/2022 2:09:56",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729022956.wav","4/18/2023 15:09","Bm","A NE Pacific","7/29/2022 2:36:32",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729025226.wav","4/18/2023 15:11","Bm","B NE Pacific","7/29/2022 3:02:48",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729031456.wav","4/18/2023 15:11","Bm","A NE Pacific","7/29/2022 3:21:30",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729035956.wav","4/18/2023 15:11","Bm","B NE Pacific","7/29/2022 4:03:56",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729044456.wav","4/18/2023 15:11","Bm","B NE Pacific","7/29/2022 5:04:09",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729055225.wav","4/18/2023 15:12","Bm","B NE Pacific","7/29/2022 6:08:20",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729065955.wav","4/18/2023 15:12","Bm","B NE Pacific","7/29/2022 7:05:12",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729065955.wav","4/18/2023 15:12","Bm","A NE Pacific","7/29/2022 7:13:36",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729074455.wav","4/18/2023 15:13","Bm","B NE Pacific","7/29/2022 8:02:52",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_031_500Hz\5984.220729085225.wav","4/18/2023 15:14","Bm","B NE Pacific","7/29/2022 9:04:10",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
