"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_041_500Hz\5987.221213215227.wav","4/28/2023 12:07","Bm","B NE Pacific","12/13/2022 21:57:36",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_041_500Hz\5987.221213221457.wav","4/28/2023 12:08","Bm","B NE Pacific","12/13/2022 22:32:11",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_041_500Hz\5987.221214163724.wav","4/28/2023 12:10","Bm","B NE Pacific","12/14/2022 16:44:48",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_041_500Hz\5987.221215043722.wav","4/28/2023 12:11","Bm","B NE Pacific","12/15/2022 4:43:24",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_041_500Hz\5987.221215075951.wav","4/28/2023 12:11","Bm","B NE Pacific","12/15/2022 8:00:05",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_041_500Hz\5987.221215084451.wav","4/28/2023 12:12","Bm","B NE Pacific","12/15/2022 8:52:45",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_041_500Hz\5987.221215103721.wav","4/28/2023 12:12","Bm","B NE Pacific","12/15/2022 10:54:31",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
