Input.file,Event.Number,Species.Code,Call,UTC,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823161158.wav,3/6/2023 12:49,Bm,B NE Pacific,8/23/2021 16:15:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823161158.wav,3/6/2023 13:00,Bm,D,8/23/2021 16:16:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823181158.wav,3/6/2023 13:09,Bm,A NE Pacific,8/23/2021 18:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823181158.wav,3/6/2023 13:09,Bm,B NE Pacific,8/23/2021 18:13:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823191158.wav,3/6/2023 13:09,Bm,A NE Pacific,8/23/2021 19:15:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823191158.wav,3/6/2023 13:09,Bm,B NE Pacific,8/23/2021 19:16:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823201158.wav,3/6/2023 13:10,Bm,B NE Pacific,8/23/2021 20:15:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823212358.wav,3/6/2023 13:17,Bm,A NE Pacific,8/23/2021 21:25:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823212358.wav,3/7/2023 12:07,Bm,A NE Pacific,8/23/2021 21:25:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823212358.wav,3/7/2023 12:08,Bm,B NE Pacific,8/23/2021 21:25:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210823232358.wav,3/7/2023 12:08,Bm,B NE Pacific,8/23/2021 23:28:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824001158.wav,3/7/2023 12:08,Bm,B NE Pacific,8/24/2021 0:15:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824011158.wav,3/7/2023 12:09,Bm,B NE Pacific,8/24/2021 1:12:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824011158.wav,3/7/2023 12:09,Bm,A NE Pacific,8/24/2021 1:12:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824021158.wav,3/7/2023 13:11,Bm,A NE Pacific,8/24/2021 2:12:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824021158.wav,3/7/2023 13:11,Bm,B NE Pacific,8/24/2021 2:13:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824031158.wav,3/7/2023 13:11,Bm,B NE Pacific,8/24/2021 3:12:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824041158.wav,3/7/2023 13:12,Bm,B NE Pacific,8/24/2021 4:13:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824041158.wav,3/7/2023 13:12,Bm,A NE Pacific,8/24/2021 4:14:00,,,,,,,,"1,G",,
