"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221116195957.wav","4/25/2023 14:41","Bm","B NE Pacific","11/16/2022 20:03:16",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221116204457.wav","4/25/2023 14:42","Bm","B NE Pacific","11/16/2022 21:01:53",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221116212957.wav","4/25/2023 14:42","Bm","A NE Pacific","11/16/2022 21:43:54",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221116215227.wav","4/25/2023 14:42","Bm","B NE Pacific","11/16/2022 22:02:26",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221116225956.wav","4/25/2023 14:42","Bm","B NE Pacific","11/16/2022 23:02:47",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221116234456.wav","4/25/2023 14:43","Bm","B NE Pacific","11/17/2022 0:03:26",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221117011456.wav","4/25/2023 14:43","Bm","B NE Pacific","11/17/2022 1:34:38",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221117015956.wav","4/25/2023 14:44","Bm","B NE Pacific","11/17/2022 2:08:06",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221117032955.wav","4/25/2023 14:44","Bm","A NE Pacific","11/17/2022 3:36:20",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_038_500Hz\5987.221117032955.wav","4/25/2023 14:44","Bm","B NE Pacific","11/17/2022 3:37:09",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
