"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210725192358.wav","3/10/2023 14:01","Bm","B NE Pacific","7/25/2021 19:27:56",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210725201158.wav","3/10/2023 14:01","Bm","B NE Pacific","7/25/2021 20:12:14",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726003558.wav","3/10/2023 14:02","Bm","B NE Pacific","7/26/2021 0:39:29",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726012358.wav","3/10/2023 14:03","Bm","A NE Pacific","7/26/2021 1:27:13",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726011158.wav","3/10/2023 14:06","Bm","D","7/26/2021 1:13:32",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726011158.wav","3/10/2023 14:06","Bm","B NE Pacific","7/26/2021 1:13:37",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726015958.wav","3/10/2023 14:07","Bm","A NE Pacific","7/26/2021 2:00:43",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726021158.wav","3/10/2023 14:07","Bm","B NE Pacific","7/26/2021 2:13:07",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726044758.wav","3/10/2023 14:11","Bm","B NE Pacific","7/26/2021 4:49:09",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726073558.wav","3/10/2023 14:14","Bm","B NE Pacific","7/26/2021 7:37:07",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726081158.wav","3/10/2023 14:14","Bm","B NE Pacific","7/26/2021 8:14:49",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726091158.wav","3/10/2023 14:14","Bm","B NE Pacific","7/26/2021 9:12:52",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726103558.wav","3/10/2023 14:15","Bm","B NE Pacific","7/26/2021 10:38:09",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726112358.wav","3/10/2023 14:15","Bm","B NE Pacific","7/26/2021 11:24:10",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726121158.wav","3/10/2023 14:15","Bm","B NE Pacific","7/26/2021 12:13:58",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726204758.wav","3/10/2023 15:57","Bm","B NE Pacific","7/26/2021 20:52:37",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726213558.wav","3/10/2023 15:58","Bm","B NE Pacific","7/26/2021 21:36:27",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726232358.wav","3/10/2023 15:59","Bm","A NE Pacific","7/26/2021 23:25:48",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210726232358.wav","3/10/2023 15:59","Bm","B NE Pacific","7/26/2021 23:26:32",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727001158.wav","3/10/2023 15:59","Bm","B NE Pacific","7/27/2021 0:15:12",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727024758.wav","3/10/2023 16:06","Bm","B NE Pacific","7/27/2021 2:51:36",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727032358.wav","3/10/2023 16:07","Bm","B NE Pacific","7/27/2021 3:26:19",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727033558.wav","3/10/2023 16:08","Bm","D","7/27/2021 3:40:02",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727041158.wav","3/10/2023 16:10","Bm","D","7/27/2021 4:14:56",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727042358.wav","3/10/2023 16:10","Bm","B NE Pacific","7/27/2021 4:24:52",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727052358.wav","3/10/2023 16:12","Bm","D","7/27/2021 5:24:29",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727053558.wav","3/10/2023 16:12","Bm","B NE Pacific","7/27/2021 5:38:04",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727062358.wav","3/10/2023 16:12","Bm","B NE Pacific","7/27/2021 6:24:55",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727062358.wav","3/10/2023 16:13","Bm","A NE Pacific","7/27/2021 6:24:32",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727072358.wav","3/10/2023 16:13","Bm","A NE Pacific","7/27/2021 7:24:49",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727073558.wav","3/10/2023 16:13","Bm","B NE Pacific","7/27/2021 7:38:08",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727083558.wav","3/10/2023 16:30","Bm","A NE Pacific","7/27/2021 8:37:52",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727083558.wav","3/10/2023 16:30","Bm","B NE Pacific","7/27/2021 8:38:03",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727092358.wav","3/14/2023 10:49","Bm","A NE Pacific","7/27/2021 9:28:10",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727095958.wav","3/14/2023 10:50","Bm","B NE Pacific","7/27/2021 10:01:59",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727095958.wav","3/14/2023 10:50","Bm","A NE Pacific","7/27/2021 10:01:10",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727111158.wav","3/14/2023 10:51","Bm","B NE Pacific","7/27/2021 11:16:00",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727115958.wav","3/14/2023 10:52","Bm","B NE Pacific","7/27/2021 12:03:02",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727123558.wav","3/14/2023 10:52","Bm","A NE Pacific","7/27/2021 12:37:40",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727141158.wav","3/14/2023 10:53","Bm","B NE Pacific","7/27/2021 14:13:56",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727152358.wav","3/14/2023 10:53","Bm","A NE Pacific","7/27/2021 15:25:10",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727152358.wav","3/14/2023 10:54","Bm","B NE Pacific","7/27/2021 15:25:56",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727153558.wav","3/14/2023 10:54","Bm","D","7/27/2021 15:36:42",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727155958.wav","3/14/2023 10:54","Bm","B NE Pacific","7/27/2021 16:03:08",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727181158.wav","3/14/2023 10:55","Bm","B NE Pacific","7/27/2021 18:13:56",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727181158.wav","3/14/2023 10:56","Bm","A NE Pacific","7/27/2021 18:13:05",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727185958.wav","3/14/2023 10:56","Bm","B NE Pacific","7/27/2021 19:01:07",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727194758.wav","3/14/2023 10:56","Bm","A NE Pacific","7/27/2021 19:49:49",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727194758.wav","3/14/2023 10:56","Bm","B NE Pacific","7/27/2021 19:50:42",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727202358.wav","3/14/2023 10:57","Bm","B NE Pacific","7/27/2021 20:27:06",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210727202358.wav","3/14/2023 10:57","Bm","A NE Pacific","7/27/2021 20:26:18",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210728004758.wav","3/14/2023 10:58","Bm","A NE Pacific","7/28/2021 0:49:15",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210728004758.wav","3/14/2023 10:58","Bm","B NE Pacific","7/28/2021 0:49:15",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210728013558.wav","3/14/2023 10:59","Bm","B NE Pacific","7/28/2021 1:39:18",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210728034758.wav","3/14/2023 11:00","Bm","D","7/28/2021 3:48:45",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210728042358.wav","3/14/2023 11:01","Bm","B NE Pacific","7/28/2021 4:26:54",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210728042358.wav","3/14/2023 11:01","Bm","A NE Pacific","7/28/2021 4:26:10",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_006_500Hz\5318.210728055958.wav","3/14/2023 11:01","Bm","A NE Pacific","7/28/2021 6:03:30",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
