Input.file,Event.Number,Species.Code,Call,Start.time,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928074443.wav,4/24/2023 14:12,Bm,A NE Pacific,9/28/2022 8:02:55,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928085213.wav,4/24/2023 14:12,Bm,A NE Pacific,9/28/2022 9:06:51,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928085213.wav,4/24/2023 14:13,Bm,B NE Pacific,9/28/2022 9:07:38,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928095943.wav,4/24/2023 14:13,Bm,A NE Pacific,9/28/2022 10:03:20,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928095943.wav,4/24/2023 14:13,Bm,B NE Pacific,9/28/2022 10:18:42,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928104443.wav,4/24/2023 14:13,Bm,B NE Pacific,9/28/2022 11:04:10,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928104443.wav,4/24/2023 14:13,Bm,A NE Pacific,9/28/2022 11:03:20,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928115212.wav,4/24/2023 14:14,Bm,A NE Pacific,9/28/2022 12:02:17,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928115212.wav,4/24/2023 14:14,Bm,B NE Pacific,9/28/2022 12:03:07,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928125943.wav,4/24/2023 14:14,Bm,B NE Pacific,9/28/2022 13:01:04,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928125943.wav,4/24/2023 14:14,Bm,A NE Pacific,9/28/2022 13:00:42,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928134443.wav,4/24/2023 14:15,Bm,A NE Pacific,9/28/2022 14:00:55,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928134443.wav,4/24/2023 14:15,Bm,B NE Pacific,9/28/2022 14:02:26,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928145212.wav,4/24/2023 14:15,Bm,B NE Pacific,9/28/2022 15:02:12,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928151442.wav,4/24/2023 14:15,Bm,A NE Pacific,9/28/2022 15:23:00,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928155942.wav,4/24/2023 14:16,Bm,B NE Pacific,9/28/2022 16:04:14,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928155942.wav,4/24/2023 14:16,Bm,A NE Pacific,9/28/2022 16:11:28,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928164442.wav,4/24/2023 14:16,Bm,A NE Pacific,9/28/2022 17:03:36,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
