"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913065957.wav","4/19/2023 11:26","Bm","A NE Pacific","9/13/2022 7:13:42",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913065957.wav","4/19/2023 11:26","Bm","B NE Pacific","9/13/2022 7:14:27",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913085226.wav","4/19/2023 11:27","Bm","A NE Pacific","9/13/2022 9:05:03",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913085226.wav","4/19/2023 11:27","Bm","B NE Pacific","9/13/2022 9:05:26",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913095956.wav","4/19/2023 11:27","Bm","B NE Pacific","9/13/2022 10:03:20",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913095956.wav","4/19/2023 11:27","Bm","A NE Pacific","9/13/2022 10:04:13",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913104456.wav","4/19/2023 11:28","Bm","A NE Pacific","9/13/2022 11:02:43",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913104456.wav","4/19/2023 11:28","Bm","B NE Pacific","9/13/2022 11:03:25",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913115226.wav","4/19/2023 11:28","Bm","B NE Pacific","9/13/2022 12:04:39",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913115226.wav","4/19/2023 11:28","Bm","A NE Pacific","9/13/2022 12:03:52",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913125956.wav","4/19/2023 11:29","Bm","A NE Pacific","9/13/2022 13:02:23",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913125956.wav","4/19/2023 11:29","Bm","B NE Pacific","9/13/2022 13:03:04",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913140725.wav","4/19/2023 11:29","Bm","B NE Pacific","9/13/2022 14:08:35",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913140725.wav","4/19/2023 11:29","Bm","A NE Pacific","9/13/2022 14:09:30",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913145225.wav","4/19/2023 11:29","Bm","A NE Pacific","9/13/2022 15:02:54",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913145225.wav","4/19/2023 11:29","Bm","B NE Pacific","9/13/2022 15:03:23",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913155955.wav","4/19/2023 11:30","Bm","A NE Pacific","9/13/2022 16:01:15",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_032_500Hz\5987.220913155955.wav","4/19/2023 11:30","Bm","B NE Pacific","9/13/2022 16:02:02",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
