"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726172947.wav","4/17/2023 15:12","Bm","B NE Pacific","7/26/2022 17:30:43",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726172947.wav","4/17/2023 15:12","Bm","D","7/26/2022 17:31:24",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726172947.wav","4/17/2023 15:12","Bm","A NE Pacific","7/26/2022 17:33:29",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726175217.wav","4/17/2023 15:13","Bm","B NE Pacific","7/26/2022 18:03:11",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726175217.wav","4/17/2023 15:13","Bm","D","7/26/2022 18:03:44",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726181447.wav","4/17/2023 15:13","Bm","A NE Pacific","7/26/2022 18:35:34",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726192217.wav","4/17/2023 15:22","Bm","D","7/26/2022 19:33:11",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726185947.wav","4/17/2023 15:22","Bm","B NE Pacific","7/26/2022 19:11:03",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726192217.wav","4/17/2023 15:23","Bm","A NE Pacific","7/26/2022 19:39:32",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\ADRIFT_028_500Hz_5s_1Hz.ltsa","4/17/2023 15:29","Bm","A NE Pacific","7/26/2022 20:03:54",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726200717.wav","4/17/2023 15:29","Bm","B NE Pacific","7/26/2022 20:11:03",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726200717.wav","4/17/2023 15:29","Bm","D","7/26/2022 20:11:26",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726205217.wav","4/17/2023 15:37","Bm","D","7/26/2022 21:05:50",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726205217.wav","4/17/2023 15:37","Bm","B NE Pacific","7/26/2022 21:05:56",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726211447.wav","4/17/2023 15:37","Bm","A NE Pacific","7/26/2022 21:21:49",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726215947.wav","4/17/2023 15:38","Bm","A NE Pacific","7/26/2022 22:05:07",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726215947.wav","4/17/2023 15:38","Bm","B NE Pacific","7/26/2022 22:03:52",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726224447.wav","4/17/2023 15:39","Bm","A NE Pacific","7/26/2022 23:02:23",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_028_500Hz\6668.220726224447.wav","4/17/2023 15:39","Bm","B NE Pacific","7/26/2022 23:03:09",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
