"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913044457.wav","4/19/2023 13:20","Bm","A NE Pacific","9/13/2022 4:59:19",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913050727.wav","4/19/2023 13:21","Bm","B NE Pacific","9/13/2022 5:09:32",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913055227.wav","4/19/2023 13:22","Bm","A NE Pacific","9/13/2022 5:53:14",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913055227.wav","4/19/2023 13:50","Bm","A NE Pacific","9/13/2022 6:06:46",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913055227.wav","4/19/2023 13:50","Bm","B NE Pacific","9/13/2022 6:06:52",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913072227.wav","4/19/2023 13:51","Bm","B NE Pacific","9/13/2022 7:39:38",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913072227.wav","4/19/2023 13:51","Bm","A NE Pacific","9/13/2022 7:39:59",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913080727.wav","4/19/2023 13:56","Bm","A NE Pacific","9/13/2022 8:16:23",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913080727.wav","4/19/2023 13:56","Bm","B NE Pacific","9/13/2022 8:15:14",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913085226.wav","4/19/2023 14:04","Bm","A NE Pacific","9/13/2022 9:08:43",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913085226.wav","4/19/2023 14:04","Bm","B NE Pacific","9/13/2022 9:07:53",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913085226.wav","4/19/2023 14:05","Bm","D","9/13/2022 9:08:15",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913095956.wav","4/19/2023 14:05","Bm","A NE Pacific","9/13/2022 10:02:10",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913095956.wav","4/19/2023 14:05","Bm","B NE Pacific","9/13/2022 10:03:00",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913104456.wav","4/19/2023 14:05","Bm","A NE Pacific","9/13/2022 11:04:47",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913104456.wav","4/19/2023 14:05","Bm","B NE Pacific","9/13/2022 11:04:42",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913115226.wav","4/19/2023 14:11","Bm","B NE Pacific","9/13/2022 12:05:19",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913115226.wav","4/19/2023 14:11","Bm","A NE Pacific","9/13/2022 12:04:43",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913125956.wav","4/19/2023 14:13","Bm","A NE Pacific","9/13/2022 13:13:36",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913125956.wav","4/19/2023 14:13","Bm","B NE Pacific","9/13/2022 13:14:06",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913140725.wav","4/19/2023 14:13","Bm","B NE Pacific","9/13/2022 14:11:38",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913140725.wav","4/19/2023 14:13","Bm","A NE Pacific","9/13/2022 14:12:04",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913145225.wav","4/19/2023 14:13","Bm","A NE Pacific","9/13/2022 15:07:28",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913145225.wav","4/19/2023 14:13","Bm","B NE Pacific","9/13/2022 15:07:13",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913155955.wav","4/19/2023 14:41","Bm","B NE Pacific","9/13/2022 16:05:22",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913164455.wav","4/19/2023 14:46","Bm","A NE Pacific","9/13/2022 17:05:23",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913164455.wav","4/19/2023 14:46","Bm","B NE Pacific","9/13/2022 17:06:14",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913175225.wav","4/19/2023 14:47","Bm","B NE Pacific","9/13/2022 18:07:24",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913185954.wav","4/19/2023 14:47","Bm","B NE Pacific","9/13/2022 19:03:42",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913185954.wav","4/19/2023 14:47","Bm","A NE Pacific","9/13/2022 19:04:52",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913215954.wav","4/19/2023 14:48","Bm","A NE Pacific","9/13/2022 22:11:46",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913215954.wav","4/19/2023 14:48","Bm","B NE Pacific","9/13/2022 22:12:33",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913230724.wav","4/19/2023 14:48","Bm","B NE Pacific","9/13/2022 23:15:02",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220913230724.wav","4/19/2023 14:48","Bm","A NE Pacific","9/13/2022 23:15:04",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914003723.wav","4/19/2023 14:48","Bm","A NE Pacific","9/14/2022 0:39:01",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914003723.wav","4/19/2023 14:48","Bm","B NE Pacific","9/14/2022 0:39:53",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914012223.wav","4/19/2023 14:49","Bm","B NE Pacific","9/14/2022 1:25:30",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914014453.wav","4/19/2023 14:49","Bm","A NE Pacific","9/14/2022 1:46:21",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914020723.wav","4/19/2023 14:49","Bm","B NE Pacific","9/14/2022 2:16:00",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914031453.wav","4/19/2023 14:50","Bm","B NE Pacific","9/14/2022 3:19:14",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914031453.wav","4/19/2023 14:50","Bm","A NE Pacific","9/14/2022 3:18:22",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914035953.wav","4/19/2023 14:50","Bm","A NE Pacific","9/14/2022 4:12:23",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914035953.wav","4/19/2023 14:50","Bm","B NE Pacific","9/14/2022 4:13:11",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914050722.wav","4/19/2023 15:20","Bm","A NE Pacific","9/14/2022 5:08:59",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914050722.wav","4/19/2023 15:20","Bm","B NE Pacific","9/14/2022 5:08:43",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914055222.wav","4/19/2023 15:21","Bm","B NE Pacific","9/14/2022 6:04:38",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914055222.wav","4/19/2023 15:21","Bm","A NE Pacific","9/14/2022 6:04:03",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914065952.wav","4/19/2023 15:22","Bm","A NE Pacific","9/14/2022 7:04:59",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914065952.wav","4/19/2023 15:22","Bm","B NE Pacific","9/14/2022 7:05:00",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914085222.wav","4/19/2023 15:25","Bm","A NE Pacific","9/14/2022 9:05:23",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914085222.wav","4/19/2023 15:26","Bm","B NE Pacific","9/14/2022 9:05:40",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914095951.wav","4/19/2023 15:32","Bm","B NE Pacific","9/14/2022 10:03:40",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914095951.wav","4/19/2023 15:32","Bm","A NE Pacific","9/14/2022 10:03:00",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914110721.wav","4/19/2023 16:08","Bm","A NE Pacific","9/14/2022 11:08:07",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914110721.wav","4/19/2023 16:08","Bm","B NE Pacific","9/14/2022 11:08:04",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914115221.wav","4/20/2023 11:58","Bm","B NE Pacific","9/14/2022 12:03:40",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914115221.wav","4/20/2023 11:58","Bm","A NE Pacific","9/14/2022 12:02:54",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914125951.wav","4/20/2023 11:58","Bm","A NE Pacific","9/14/2022 13:05:36",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914125951.wav","4/20/2023 11:58","Bm","B NE Pacific","9/14/2022 13:06:36",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914134451.wav","4/20/2023 12:01","Bm","B NE Pacific","9/14/2022 14:05:04",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914134451.wav","4/20/2023 12:01","Bm","A NE Pacific","9/14/2022 14:04:15",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914151450.wav","4/20/2023 12:02","Bm","A NE Pacific","9/14/2022 15:16:17",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914151450.wav","4/20/2023 12:02","Bm","B NE Pacific","9/14/2022 15:15:06",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914155950.wav","4/20/2023 12:04","Bm","B NE Pacific","9/14/2022 16:06:13",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914155950.wav","4/20/2023 12:04","Bm","A NE Pacific","9/14/2022 16:05:28",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914170720.wav","4/20/2023 12:04","Bm","A NE Pacific","9/14/2022 17:16:54",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914181450.wav","4/20/2023 12:05","Bm","A NE Pacific","9/14/2022 18:21:15",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914181450.wav","4/20/2023 12:05","Bm","B NE Pacific","9/14/2022 18:21:47",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914185950.wav","4/20/2023 12:05","Bm","B NE Pacific","9/14/2022 19:04:48",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914185950.wav","4/20/2023 12:05","Bm","A NE Pacific","9/14/2022 19:06:03",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914200719.wav","4/20/2023 12:29","Bm","A NE Pacific","9/14/2022 20:07:37",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914200719.wav","4/20/2023 12:29","Bm","B NE Pacific","9/14/2022 20:08:25",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914211449.wav","4/20/2023 12:30","Bm","B NE Pacific","9/14/2022 21:17:12",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914211449.wav","4/20/2023 12:30","Bm","A NE Pacific","9/14/2022 21:16:24",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_033_500Hz\5984.220914222219.wav","4/20/2023 12:31","Bm","A NE Pacific","9/14/2022 22:32:08",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
