"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\ADRIFT_003_500Hz_5s_1Hz.ltsa","3/10/2023 10:30","Bm","B NE Pacific","7/26/2021 8:12:20",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\ADRIFT_003_500Hz_5s_1Hz.ltsa","3/10/2023 10:31","Bm","A NE Pacific","7/27/2021 6:48:20",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\ADRIFT_003_500Hz_5s_1Hz.ltsa","3/10/2023 10:31","Bm","A NE Pacific","7/27/2021 7:16:10",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210728092606.wav","3/10/2023 10:33","Bm","B NE Pacific","7/28/2021 9:28:29",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729030206.wav","3/10/2023 10:34","Bm","B NE Pacific","7/29/2021 3:07:03",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729030206.wav","3/10/2023 10:34","Bm","A NE Pacific","7/29/2021 3:06:16",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729033806.wav","3/10/2023 10:34","Bm","D","7/29/2021 3:41:38",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729040206.wav","3/10/2023 10:39","Bm","D","7/29/2021 4:02:33",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729043806.wav","3/10/2023 10:39","Bm","B NE Pacific","7/29/2021 4:41:25",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729052606.wav","3/10/2023 10:41","Bm","B NE Pacific","7/29/2021 5:27:47",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729052606.wav","3/10/2023 10:42","Bm","A NE Pacific","7/29/2021 5:27:04",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210729060206.wav","3/10/2023 10:42","Bm","D","7/29/2021 6:03:46",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730051406.wav","3/10/2023 10:44","Bm","B NE Pacific","7/30/2021 5:16:42",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730060206.wav","3/10/2023 10:45","Bm","B NE Pacific","7/30/2021 6:02:54",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730072606.wav","3/10/2023 10:46","Bm","A NE Pacific","7/30/2021 7:28:44",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730080206.wav","3/10/2023 10:49","Bm","A NE Pacific","7/30/2021 8:03:01",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730083806.wav","3/10/2023 10:50","Bm","B NE Pacific","7/30/2021 8:41:56",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730090206.wav","3/10/2023 10:58","Bm","A NE Pacific","7/30/2021 9:04:21",NA,NA,NA,NA,NA,NA,NA,"1,G ",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730110206.wav","3/10/2023 10:58","Bm","B NE Pacific","7/30/2021 11:02:55",NA,NA,NA,NA,NA,NA,NA,"1,G ",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\ADRIFT_003_500Hz_5s_1Hz.ltsa","3/10/2023 10:59","Bm","A NE Pacific","7/30/2021 12:54:18",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\ADRIFT_003_500Hz_5s_1Hz.ltsa","3/10/2023 10:59","Bm","B NE Pacific","7/30/2021 12:55:19",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730135006.wav","3/10/2023 11:01","Bm","A NE Pacific","7/30/2021 13:53:17",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730135006.wav","3/10/2023 11:01","Bm","B NE Pacific","7/30/2021 13:53:54",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730142606.wav","3/10/2023 11:02","Bm","B NE Pacific","7/30/2021 14:30:03",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730142606.wav","3/10/2023 11:02","Bm","A NE Pacific","7/30/2021 14:31:17",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730151406.wav","3/10/2023 11:02","Bm","B NE Pacific","7/30/2021 15:15:14",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730152606.wav","3/10/2023 11:03","Bm","A NE Pacific","7/30/2021 15:26:47",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730160206.wav","3/10/2023 11:03","Bm","A NE Pacific","7/30/2021 16:06:10",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730160206.wav","3/10/2023 11:03","Bm","B NE Pacific","7/30/2021 16:06:56",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210730182606.wav","3/10/2023 11:04","Bm","B NE Pacific","7/30/2021 18:29:30",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210731002606.wav","3/10/2023 11:04","Bm","B NE Pacific","7/31/2021 0:27:21",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210731002606.wav","3/10/2023 11:04","Bm","A NE Pacific","7/31/2021 0:26:30",NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210731011406.wav","3/10/2023 11:05","Bm","A NE Pacific","7/31/2021 1:16:52",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_003_500Hz\1208786975.210731011406.wav","3/10/2023 11:05","Bm","B NE Pacific","7/31/2021 1:17:43",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
