"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\ADRIFT_027_500Hz_5s_1Hz.ltsa","4/13/2023 16:28","Bm","D","7/26/2022 18:40:50",NA,NA,NA,NA,NA,NA,NA,"2, G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220726185942.wav","4/13/2023 16:29","Bm","D","7/26/2022 19:07:42",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220726194442.wav","4/13/2023 16:29","Bm","D","7/26/2022 20:05:55",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220726200712.wav","4/13/2023 16:30","Bm","B NE Pacific","7/26/2022 20:13:57",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220726205211.wav","4/13/2023 16:30","Bm","D","7/26/2022 21:05:15",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220726222211.wav","4/13/2023 16:31","Bm","B NE Pacific","7/26/2022 22:25:18",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220726224441.wav","4/13/2023 16:31","Bm","B NE Pacific","7/26/2022 23:03:12",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727055210.wav","4/13/2023 16:31","Bm","B NE Pacific","7/27/2022 6:12:18",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727072209.wav","4/13/2023 16:32","Bm","B NE Pacific","7/27/2022 7:34:32",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727074439.wav","4/13/2023 16:32","Bm","B NE Pacific","7/27/2022 8:03:29",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727082939.wav","4/13/2023 16:32","Bm","D","7/27/2022 8:30:51",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727093709.wav","4/13/2023 16:33","Bm","B NE Pacific","7/27/2022 9:43:08",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727095939.wav","4/13/2023 16:33","Bm","B NE Pacific","7/27/2022 10:11:19",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727110709.wav","4/13/2023 16:33","Bm","B NE Pacific","7/27/2022 11:27:43",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727115208.wav","4/13/2023 16:34","Bm","B NE Pacific","7/27/2022 12:11:06",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727125938.wav","4/13/2023 16:35","Bm","B NE Pacific","7/27/2022 13:04:07",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727140708.wav","4/13/2023 16:35","Bm","B NE Pacific","7/27/2022 14:17:39",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727162208.wav","4/13/2023 16:35","Bm","B NE Pacific","7/27/2022 16:28:18",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727164438.wav","4/13/2023 16:35","Bm","B NE Pacific","7/27/2022 17:05:56",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_027_500Hz\6671.220727181438.wav","4/13/2023 16:36","Bm","B NE Pacific","7/27/2022 18:30:53",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
