"Input.file","Event.Number","Species.Code","Call","Start.time","End.time","Parameter.1","Parameter.2","Parameter.3","Parameter.4","Parameter.5","Parameter.6","Comments","Image","Audio"
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221213212957.wav","4/27/2023 15:27","Bm","B NE Pacific","12/13/2022 21:37:19",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221213212957.wav","4/27/2023 15:27","Bm","A NE Pacific","12/13/2022 21:38:36",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221213222957.wav","4/27/2023 15:27","Bm","B NE Pacific","12/13/2022 22:32:09",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221213222957.wav","4/27/2023 15:27","Bm","A NE Pacific","12/13/2022 22:35:24",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221213225957.wav","4/27/2023 15:28","Bm","A NE Pacific","12/13/2022 23:04:14",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221213225957.wav","4/27/2023 15:28","Bm","B NE Pacific","12/13/2022 23:03:06",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221214212955.wav","4/27/2023 15:30","Bm","B NE Pacific","12/14/2022 21:55:11",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221214215955.wav","4/27/2023 15:30","Bm","B NE Pacific","12/14/2022 22:09:42",NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221214225955.wav","4/27/2023 15:31","Bm","B NE Pacific","12/14/2022 23:20:40",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221215002955.wav","4/27/2023 15:31","Bm","B NE Pacific","12/15/2022 0:49:43",NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221215005955.wav","4/27/2023 15:32","Bm","B NE Pacific","12/15/2022 1:17:03",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221215015955.wav","4/27/2023 15:34","Bm","B NE Pacific","12/15/2022 2:25:35",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221215032954.wav","4/27/2023 15:35","Bm","B NE Pacific","12/15/2022 3:42:25",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221215135953.wav","4/27/2023 15:35","Bm","B NE Pacific","12/15/2022 14:04:31",NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221215145953.wav","4/27/2023 15:35","Bm","B NE Pacific","12/15/2022 15:04:29",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
"H:\RECORDINGS\500Hz\ADRIFT_040_500Hz\1677738025.221215162953.wav","4/27/2023 15:36","Bm","B NE Pacific","12/15/2022 16:37:04",NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
