Longitude,Latitude,ID
-121.636278,35.62906,1
-121.7543558,35.62906,2
-121.8505283,35.62906,3
-121.9478373,35.62906,4
-121.9478373,35.542721,5
-121.8505283,35.542721,6
-121.7543558,35.542721,7
-121.636278,35.542721,8
