V1,V2,V3
-123.017532467532,36,-3561.44165039062
-123.000544486569,36,-3553.70166015625
-122.983556505606,36,-3555.56176757812
-122.966568524643,36,-3551.01171875
-122.94958054368,36,-3549.21166992188
-122.932592562717,36,-3560.52514648438
-122.915604581754,36,-3547.26513671875
-122.898616600791,36,-3531.63500976562
-122.881628619827,36,-3524.18505859375
-122.864640638864,36,-3528.23510742188
-122.847652657901,36,-3545.455078125
-122.830664676938,36,-3543.9951171875
-122.813676695975,36,-3536.55493164062
-122.796688715012,36,-3530.41943359375
-122.779700734049,36,-3523.07958984375
-122.762712753085,36,-3510.65942382812
-122.745724772122,36,-3499.74951171875
-122.728736791159,36,-3488.94946289062
-122.711748810196,36,-3484.12939453125
-122.694760829233,36,-3470.02954101562
-122.67777284827,36,-3458.19946289062
-122.660784867307,36,-3443.29321289062
-122.643796886343,36,-3421.873046875
-122.62680890538,36,-3401.9931640625
-122.609820924417,36,-3361.203125
-122.592832943454,36,-3363.953125
-122.575844962491,36,-3316.83325195312
-122.558856981528,36,-3310.92309570312
-122.541869000565,36,-3276.88305664062
-122.524881019602,36,-3234.46508789062
-122.507893038638,36,-3225.5751953125
-122.490905057675,36,-3196.29516601562
-122.473917076712,36,-3170.34521484375
-122.456929095749,36,-3146.58520507812
-122.439941114786,36,-3076.865234375
-122.422953133823,36,-3012.4150390625
-122.40596515286,36,-2945.44506835938
-122.388977171896,36,-2935.59057617188
-122.371989190933,36,-2970.92065429688
-122.35500120997,36,-3015.34057617188
-122.338013229007,36,-2843.78051757812
-122.321025248044,36,-2561.70068359375
-122.304037267081,36,-2207.62060546875
-122.287049286118,36,-1820.51062011719
-122.270061305154,36,-1722.95837402344
-122.253073324191,36,-1614.85827636719
-122.236085343228,36,-1568.92834472656
-122.219097362265,36,-1652.67834472656
-122.202109381302,36,-1652.70837402344
-122.185121400339,36,-1598.34838867188
-122.168133419376,36,-1558.64831542969
-122.151145438413,36,-1527.2783203125
-122.134157457449,36,-1498.51708984375
-122.117169476486,36,-1479.33703613281
-122.100181495523,36,-1467.73706054688
-122.08319351456,36,-1418.72705078125
-122.066205533597,36,-1384.85705566406
-122.049217552634,36,-1352.83703613281
-122.032229571671,36,-1321.31701660156
-122.015241590707,36,-1294.28698730469
-121.998253609744,36,-1277.41589355469
-121.981265628781,36,-1270.01586914062
-121.964277647818,36,-1304.55578613281
-121.947289666855,36,-1303.70581054688
-121.930301685892,36,-1288.42578125
-121.913313704929,36,-1308.20581054688
-121.896325723965,36,-1273.73583984375
-121.879337743002,36,-1245.15588378906
-121.862349762039,36,-1221.39050292969
-121.845361781076,36,-1176.47045898438
-121.828373800113,36,-1155.79052734375
-121.81138581915,36,-1143.38049316406
-121.794397838187,36,-1111.73046875
-121.777409857224,36,-1062.65051269531
-121.76042187626,36,-1083.92053222656
-121.743433895297,36,-1005.93048095703
-121.726445914334,36,-934.670288085938
-121.709457933371,36,-905.000305175781
-121.692469952408,36,-876.470275878906
-121.675481971445,36,-772.880310058594
-121.658493990482,36,-656.080261230469
-121.641506009518,36,-534.950317382812
-121.624518028555,36,-473.730285644531
-121.607530047592,36,-417.590301513672
-121.590542066629,36,-302.595642089844
-121.573554085666,36,-114.065650939941
-121.556566104703,36,-66.8856506347656
-121.53957812374,36,-63.6556510925293
-121.522590142776,36,-47.7356491088867
-121.505602161813,36,-18.4756488800049
-121.48861418085,36,165.974349975586
-121.471626199887,36,374.474365234375
-121.454638218924,36,518.511169433594
-121.437650237961,36,767.181213378906
-121.420662256998,36,943.551208496094
-121.403674276035,36,815.601196289062
-121.386686295071,36,644.331176757812
-121.369698314108,36,623.141174316406
-121.352710333145,36,537.211181640625
-121.335722352182,36,610.351196289062
-121.318734371219,36,500.152679443359
-121.301746390256,36,474.722686767578
-121.284758409293,36,476.522674560547
-121.267770428329,36,422.812683105469
-121.250782447366,36,351.792694091797
-121.233794466403,36,309.502685546875
-121.21680648544,36,320.222686767578
-121.199818504477,36,352.562683105469
-121.182830523514,36,369.089965820312
-121.165842542551,36,346.7099609375
-121.148854561587,36,360.599975585938
-121.131866580624,36,362.689971923828
-121.114878599661,36,361.239959716797
-121.097890618698,36,395.359954833984
-121.080902637735,36,444.529968261719
-121.063914656772,36,475.719970703125
-121.046926675809,36,501.943054199219
-121.029938694846,36,536.073059082031
-121.012950713882,36,613.983032226562
-120.995962732919,36,522.943054199219
-120.978974751956,36,406.343048095703
-120.961986770993,36,364.883056640625
-120.94499879003,36,343.733062744141
-120.928010809067,36,256.353912353516
-120.911022828104,36,155.77392578125
-120.89403484714,36,131.003921508789
-120.877046866177,36,159.513916015625
-120.860058885214,36,245.313919067383
-120.843070904251,36,256.263916015625
-120.826082923288,36,300.233917236328
-120.809094942325,36,369.513916015625
-120.792106961362,36,331.796447753906
-120.775118980399,36,340.966430664062
-120.758130999435,36,404.136444091797
-120.741143018472,36,482.066436767578
-120.724155037509,36,503.976440429688
-120.707167056546,36,542.076416015625
-120.690179075583,36,610.326416015625
-120.67319109462,36,610.966430664062
-120.656203113657,36,554.153869628906
-120.639215132693,36,471.533874511719
-120.62222715173,36,516.433898925781
-120.605239170767,36,504.933868408203
