V1,V2,V3
-130,45,-2719.17822265625
-129.933054393305,45,-2717.00830078125
-129.866108786611,45,-2624.26489257812
-129.799163179916,45,-2704.64501953125
-129.732217573222,45,-2679.455078125
-129.665271966527,45,-2723.35498046875
-129.598326359833,45,-2730.21508789062
-129.531380753138,45,-2757.125
-129.464435146444,45,-2655.97509765625
-129.397489539749,45,-2658.9951171875
-129.330543933054,45,-2640.86499023438
-129.26359832636,45,-2689.455078125
-129.196652719665,45,-2758.51513671875
-129.129707112971,45,-2779.53515625
-129.062761506276,45,-2814.7451171875
-128.995815899582,45,-2836.15502929688
-128.928870292887,45,-2832.08520507812
-128.861924686192,45,-2787.36499023438
-128.794979079498,45,-2771.58984375
-128.728033472803,45,-2583.27978515625
-128.661087866109,45,-2502.51977539062
-128.594142259414,45,-2760.24975585938
-128.52719665272,45,-2827.36987304688
-128.460251046025,45,-2834.45971679688
-128.393305439331,45,-2848.24975585938
-128.326359832636,45,-2861.97973632812
-128.259414225941,45,-2860.46630859375
-128.192468619247,45,-2854.39624023438
-128.125523012552,45,-2870.63623046875
-128.058577405858,45,-2860.29638671875
-127.991631799163,45,-2843.41625976562
-127.924686192469,45,-2834.85620117188
-127.857740585774,45,-2813.95629882812
-127.790794979079,45,-2682.89624023438
-127.723849372385,45,-2775.10107421875
-127.65690376569,45,-2893.26123046875
-127.589958158996,45,-2874.27124023438
-127.523012552301,45,-2889.1611328125
-127.456066945607,45,-2930.82104492188
-127.389121338912,45,-2966.57104492188
-127.322175732218,45,-2973.90112304688
-127.255230125523,45,-2873.79125976562
-127.188284518828,45,-2751.79296875
-127.121338912134,45,-2835.45288085938
-127.054393305439,45,-2866.82275390625
-126.987447698745,45,-2875.26293945312
-126.92050209205,45,-2872.61279296875
-126.853556485356,45,-2858.18286132812
-126.786610878661,45,-2844.29296875
-126.719665271967,45,-2844.49291992188
-126.652719665272,45,-2846.90576171875
-126.585774058577,45,-2834.22583007812
-126.518828451883,45,-2821.73583984375
-126.451882845188,45,-2808.80590820312
-126.384937238494,45,-2795.14575195312
-126.317991631799,45,-2799.02587890625
-126.251046025105,45,-2795.6259765625
-126.18410041841,45,-2788.06591796875
-126.117154811715,45,-2786.88208007812
-126.050209205021,45,-2786.64208984375
-125.983263598326,45,-2794.72216796875
-125.916317991632,45,-2808.43212890625
-125.849372384937,45,-2818.83227539062
-125.782426778243,45,-2801.04223632812
-125.715481171548,45,-2789.65209960938
