,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
56,56,Spectrogram 1,1,116367.3234,116488.3403,342.672,717.672,3/13/23 5:19,5,HmpSng,NA
57,57,Spectrogram 1,1,117302.0777,117430.0861,96.983,808.19,3/13/23 5:34,5,HmpSng,NA
58,58,Spectrogram 1,1,118133.0523,118241.2302,90.517,782.328,3/13/23 5:48,5,HmpSng,NA
59,59,Spectrogram 1,1,120404.1032,120494.6116,142.241,853.448,3/13/23 6:26,6,HmpSng,NA
60,60,Spectrogram 1,1,122551.1625,122605.4421,84.052,982.759,3/13/23 7:02,7,HmpSng,NA
61,61,Spectrogram 1,1,126230.5099,126323.6879,135.776,549.569,3/13/23 8:03,8,HmpSng,NA
62,62,Spectrogram 1,1,129176.8913,129232.1879,181.034,756.466,3/13/23 8:52,8,HmpSng,NA
63,63,Spectrogram 1,1,130501.3658,130577.3828,135.776,1221.983,3/13/23 9:14,9,HmpSng,NA
64,64,Spectrogram 1,1,133571.2303,133647.5014,155.172,1474.138,3/13/23 10:06,10,HmpSng,NA
65,65,Spectrogram 1,1,137009.9675,137069.9675,174.569,1920.259,3/13/23 11:03,11,HmpSng,NA
66,66,Spectrogram 1,1,140473.6707,140623.7978,122.845,2334.052,3/13/23 12:01,12,HmpSng,NA
67,67,Spectrogram 1,1,145641.5267,145798.2639,116.379,711.207,3/13/23 13:27,13,HmpSng,NA
68,68,Spectrogram 1,1,147763.1622,147863.2045,77.586,575.431,3/13/23 14:02,14,HmpSng,NA
69,69,Spectrogram 1,1,151216.5179,151252.2382,129.31,575.431,3/13/23 15:00,15,Hmp,NA
70,70,Spectrogram 1,1,153262.2636,153336.5009,174.569,549.569,3/13/23 15:34,15,Hmp,NA
71,71,Spectrogram 1,1,154152.3482,154157.3059,155.172,1047.414,3/13/23 15:49,15,HmpSoc,NA
72,72,Spectrogram 1,1,156176.2296,156268.1364,174.569,911.638,3/13/23 16:22,16,HmpSng,NA
73,73,Spectrogram 1,1,158489.2296,158581.1363,174.569,808.19,3/13/23 17:01,17,HmpSng,NA
74,74,Spectrogram 1,1,159091.2127,159121.0855,245.69,698.276,3/13/23 17:11,17,HmpSng,NA
75,75,Spectrogram 1,1,162173.1531,162236.8395,206.897,859.914,3/13/23 18:02,18,HmpSng,NA
76,76,Spectrogram 1,1,166219.3395,166263.831,342.672,711.207,3/13/23 19:10,19,Hmp,NA
77,77,Spectrogram 1,1,167024.5087,167063.9155,200.431,859.914,3/13/23 19:23,19,HmpSng,NA
78,78,Spectrogram 1,1,169976.4813,170065.7185,187.5,737.069,3/13/23 20:12,20,Hmp,NA
79,79,Spectrogram 1,1,174358.7437,174425.2267,155.172,885.776,3/13/23 21:25,21,Hmp,NA
80,80,Spectrogram 1,1,177072.447,177125.4555,148.707,788.793,3/13/23 22:11,22,HmpSng,NA
81,81,Spectrogram 1,1,178383.1926,178475.9892,129.31,614.224,3/13/23 22:32,22,HmpSng,NA
82,82,Spectrogram 1,1,183573.2942,183642.4467,174.569,1312.5,3/13/23 23:59,23,HmpSng,NA
83,83,Spectrogram 1,1,183880.006,183950.8111,187.5,866.379,3/14/23 0:04,0,HmpSng,NA
