,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
1,1,Spectrogram 1,1,9854.439666,9920.668449,162.162,855.037,3/11/23 22:38,22,Hmp,NA
2,2,Spectrogram 1,1,10857.32923,10890.50718,213.759,825.553,3/11/23 22:54,22,,NA
3,3,Spectrogram 1,1,11849.1589,11868.60804,176.904,692.875,3/11/23 23:11,23,HmpSng,NA
4,4,Spectrogram 1,1,13118.97064,13149.86045,176.904,803.44,3/11/23 23:32,23,HmpSng,NA
5,5,Spectrogram 1,1,20690.57824,20741.67991,250.614,560.197,3/12/23 1:38,1,Hmp,NA
6,6,Spectrogram 1,1,22624.53537,22671.82349,228.501,538.084,3/12/23 2:11,2,Hmp,NA
7,7,Spectrogram 1,1,23468.60299,23508.13687,154.791,515.971,3/12/23 2:25,2,Hmp,NA
8,8,Spectrogram 1,1,24848.75549,24883.96734,125.307,626.536,3/12/23 2:48,2,HmpSng,NA
9,9,Spectrogram 1,1,24916.05215,24996.13686,117.936,700.246,3/12/23 2:49,2,HmpSng,NA
10,10,Spectrogram 1,1,30080.09445,30128.01815,132.678,722.359,3/12/23 4:15,4,HmpSng,NA
11,11,Spectrogram 1,1,31719.28927,31754.50112,235.872,722.359,3/12/23 4:42,4,HmpSng,NA
12,12,Spectrogram 1,1,32857.23019,32894.34882,280.098,567.568,3/12/23 5:01,5,Hmp,NA
13,13,Spectrogram 1,1,33499.89121,33548.95899,176.904,530.713,3/12/23 5:12,5,Hmp,NA
14,14,Spectrogram 1,1,38586.20697,38634.13067,169.533,803.44,3/12/23 6:37,6,HmpSng,NA
15,15,Spectrogram 1,1,40478.4672,40517.61973,176.904,884.521,3/12/23 7:08,7,HmpSng,NA
16,16,Spectrogram 1,1,40804.37357,40873.0176,147.42,899.263,3/12/23 7:14,7,HmpSng,NA
17,17,Spectrogram 1,1,43567.90729,43689.43266,117.936,1437.346,3/12/23 8:00,8,HmpSoc,NA
18,18,Spectrogram 1,1,46031.84796,46113.83944,66.339,972.973,3/12/23 8:41,8,HmpSng,NA
19,19,Spectrogram 1,1,49234.98348,49283.16143,169.533,847.666,3/12/23 9:34,9,HmpSng,NA
20,20,Spectrogram 1,1,51757.27049,51799.21963,213.759,1076.167,3/12/23 10:16,10,HmpSng,NA
21,21,Spectrogram 1,1,54872.81765,54917.69051,191.646,766.585,3/12/23 11:08,11,HmpSng,NA
22,22,Spectrogram 1,1,56165.51256,56256.52947,132.678,773.956,3/12/23 11:30,11,HmpSng,NA
23,23,Spectrogram 1,1,56844.71806,56878.78584,176.904,1348.894,3/12/23 11:41,11,HmpSng,NA
24,24,Spectrogram 1,1,57771.46242,57803.36919,162.162,766.585,3/12/23 11:56,11,HmpSng,NA
25,25,Spectrogram 1,1,58939.14743,58973.59657,169.533,648.649,3/12/23 12:16,12,HmpSoc,NA
26,26,Spectrogram 1,1,61502.16156,61544.23781,169.533,781.327,3/12/23 12:58,12,HmpSng,NA
27,27,Spectrogram 1,1,63091.27,63129.91405,132.678,788.698,3/12/23 13:25,13,HmpSng,NA
28,28,Spectrogram 1,1,67646.71906,67699.21903,154.791,449.631,3/12/23 14:41,14,HmpSng,NA
29,29,Spectrogram 1,1,69473.59208,69543.38019,140.049,530.713,3/12/23 15:11,15,HmpSng,NA
30,30,Spectrogram 1,1,72964.6221,72998.05429,73.71,560.197,3/12/23 16:10,16,Hmp,NA
31,31,Spectrogram 1,1,77492.35906,77562.65564,184.275,523.342,3/12/23 17:25,17,Hmp,NA
32,32,Spectrogram 1,1,79809.55103,79846.16119,169.533,906.634,3/12/23 18:04,18,HmpSng,NA
33,35,Spectrogram 1,1,83453.75846,83478.92794,147.42,737.101,3/12/23 19:04,19,HmpSng,NA
34,36,Spectrogram 1,1,92854.57697,92882.28883,154.791,442.26,3/12/23 21:41,21,Hmp,NA
35,37,Spectrogram 1,1,96938.89591,96954.91285,125.307,530.713,3/12/23 22:49,22,Hmp,NA
36,38,Spectrogram 1,1,98648.94679,98724.70947,235.872,530.713,3/12/23 23:18,23,Hmp,NA
37,39,Spectrogram 1,1,99784.85249,99826.80162,191.646,1393.12,3/12/23 23:37,23,HmpSng,NA
38,40,Spectrogram 1,1,100908.8084,100944.4016,66.339,869.779,3/12/23 23:55,23,HmpSng,NA
39,41,Spectrogram 1,1,102532.3657,102576.603,250.614,707.617,3/13/23 0:22,0,Hmp,NA
40,42,Spectrogram 1,1,103493.3053,103573.6442,184.275,530.713,3/13/23 0:38,0,Hmp,NA
41,43,Spectrogram 1,1,104287.0334,104340.1689,125.307,899.263,3/13/23 0:52,0,HmpSng,NA
42,44,Spectrogram 1,1,104526.5756,104568.5247,88.452,965.602,3/13/23 0:56,0,HmpSng,NA
43,45,Spectrogram 1,1,105493.2355,105539.8881,147.42,884.521,3/13/23 1:12,1,HmpSng,NA
44,46,Spectrogram 1,1,106634.8606,106662.3182,250.614,1267.813,3/13/23 1:31,1,HmpSoc,NA
45,47,Spectrogram 1,1,107358.4192,107383.8429,154.791,722.359,3/13/23 1:43,1,HmpSng,NA
46,48,Spectrogram 1,1,109008.7989,109070.8327,176.904,670.762,3/13/23 2:10,2,HmpSng,NA
47,49,Spectrogram 1,1,112485.4131,112533.591,95.823,832.924,3/13/23 3:08,3,HmpSng,NA
48,50,Spectrogram 1,1,112917.8953,112947.8953,103.194,855.037,3/13/23 3:15,3,HmpSng,NA
49,51,Spectrogram 1,1,115717.5274,115753.2477,81.081,589.681,3/13/23 4:02,4,HmpSng,NA
50,52,Spectrogram 1,1,118701.7096,118734.1248,250.614,626.536,3/13/23 4:52,4,Hmp,NA
51,53,Spectrogram 1,1,119554.5473,119587.9795,169.533,825.553,3/13/23 5:06,5,HmpSng,NA
52,54,Spectrogram 1,1,121818.4763,121889.1542,58.968,773.956,3/13/23 5:44,5,HmpSng,NA
53,55,Spectrogram 1,1,123154.3903,123195.8309,88.452,869.779,3/13/23 6:06,6,HmpSng,NA
54,56,Spectrogram 1,1,126391.9713,126479.6831,184.275,1135.135,3/13/23 7:00,7,HmpSng,NA
55,57,Spectrogram 1,1,130001.8566,130042.6616,140.049,515.971,3/13/23 8:00,8,HmpSng,NA
56,58,Spectrogram 1,1,133672.8091,133730.2667,117.936,788.698,3/13/23 9:01,9,HmpSng,NA
57,59,Spectrogram 1,1,134749.4773,134807.6976,73.71,648.649,3/13/23 9:19,9,HmpSng,NA
58,60,Spectrogram 1,1,137346.4319,137439.9911,147.42,2977.887,3/13/23 10:03,10,HmpSng,NA
59,61,Spectrogram 1,1,142577.9669,142656.7804,140.049,2705.16,3/13/23 11:30,11,HmpSng,NA
60,62,Spectrogram 1,1,143508.9065,143584.4149,250.614,2771.499,3/13/23 11:45,11,HmpSng,NA
61,63,Spectrogram 1,1,144850.4134,144903.6761,81.081,2469.287,3/13/23 12:08,12,HmpSng,NA
62,64,Spectrogram 1,1,148080.2404,148124.2234,140.049,737.101,3/13/23 13:01,13,HmpSng,NA
63,65,Spectrogram 1,1,151595.041,151722.2867,88.452,884.521,3/13/23 14:00,14,HmpSng,NA
64,66,Spectrogram 1,1,152483.2177,152560.8871,169.533,1238.329,3/13/23 14:15,14,HmpSng,NA
65,67,Spectrogram 1,1,155365.7821,155427.6889,110.565,604.423,3/13/23 15:03,15,HmpSng,NA
66,68,Spectrogram 1,1,155754.2311,155775.4599,0,2093.366,3/13/23 15:09,15,HmpSoc,NA
67,69,Spectrogram 1,1,158105.414,158112.4055,117.936,1695.332,3/13/23 15:48,15,HmpSoc,NA
68,70,Spectrogram 1,1,159768.506,159843.1246,125.307,471.744,3/13/23 16:16,16,Hmp,NA
69,71,Spectrogram 1,1,160110.8106,160164.836,206.388,1171.99,3/13/23 16:22,16,Hmp,NA
70,72,Spectrogram 1,1,160498.4202,160599.6066,103.194,1171.99,3/13/23 16:28,16,Hmp,NA
71,73,Spectrogram 1,1,161154.8091,161252.4362,184.275,648.649,3/13/23 16:39,16,HmpSng,NA
72,74,Spectrogram 1,1,161854.2916,161924.3339,66.339,2528.256,3/13/23 16:51,16,HmpSng,NA
73,75,Spectrogram 1,1,162456.0195,162568.3923,95.823,869.779,3/13/23 17:01,17,HmpSng,NA
74,76,Spectrogram 1,1,162999.9853,163034.053,199.017,840.295,3/13/23 17:10,17,HmpSng,NA
