,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
1,1,Spectrogram 1,1,6677.846441,6776.871819,162.162,862.408,3/11/23 23:45,23,HmpSng,NA
2,2,Spectrogram 1,1,7828.117703,7901.719364,162.162,891.892,3/12/23 0:04,0,HmpSng,NA
3,3,Spectrogram 1,1,13452.99052,13524.6854,199.017,714.988,3/12/23 1:38,1,HmpSng,NA
4,4,Spectrogram 1,1,14757.12611,14850.30403,184.275,589.681,3/12/23 1:59,1,HmpSng,NA
5,5,Spectrogram 1,1,16642.34457,16697.2598,140.049,346.437,3/12/23 2:31,2,HmpSng,NA
6,6,Spectrogram 1,1,18371.0793,18460.6979,184.275,597.052,3/12/23 3:00,3,HmpSng,NA
7,7,Spectrogram 1,1,21253.13847,21386.61298,199.017,958.231,3/12/23 3:48,3,HmpSng,NA
8,8,Spectrogram 1,1,21657.2231,21709.08748,103.194,877.15,3/12/23 3:54,3,HmpSng,NA
9,9,Spectrogram 1,1,26312.32043,26357.7653,140.049,523.342,3/12/23 5:12,5,Hmp,NA
10,10,Spectrogram 1,1,31483.92291,31520.7873,121.621,585.995,3/12/23 6:38,6,HmpSng,NA
11,11,Spectrogram 1,1,35325.01617,35370.77886,73.71,1002.457,3/12/23 7:42,7,HmpSng,NA
12,12,Spectrogram 1,1,36730.78294,36760.14733,58.968,663.391,3/12/23 8:06,8,HmpSng,NA
13,13,Spectrogram 1,1,37248.67704,37348.46513,140.049,803.44,3/12/23 8:14,8,HmpSng,NA
14,14,Spectrogram 1,1,39692.02448,39747.70242,81.081,1304.668,3/12/23 8:55,8,HmpSng,NA
15,15,Spectrogram 1,1,39966.27019,40027.54135,95.823,737.101,3/12/23 9:00,9,HmpSng,NA
16,16,Spectrogram 1,1,41641.87194,41722.59224,125.307,796.069,3/12/23 9:28,9,HmpSng,NA
17,17,Spectrogram 1,1,42288.47363,42347.96513,228.501,773.956,3/12/23 9:38,9,HmpSng,NA
18,18,Spectrogram 1,1,42928.28682,43037.53227,125.307,2867.322,3/12/23 9:49,9,HmpSng,NA
19,19,Spectrogram 1,1,43311.70242,43430.30406,81.081,1002.457,3/12/23 9:55,9,HmpSng,NA
20,20,Spectrogram 1,1,46870.61676,46970.15061,162.162,825.553,3/12/23 10:55,10,HmpSng,NA
21,21,Spectrogram 1,1,48391.09526,48421.4766,420.147,2557.74,3/12/23 11:20,11,HmpSng,NA
22,22,Spectrogram 1,1,50567.8878,50654.90047,339.066,2992.629,3/12/23 11:56,11,HmpSng,NA
23,23,Spectrogram 1,1,51453.90466,51490.89616,213.759,2845.209,3/12/23 12:11,12,HmpSng,NA
24,24,Spectrogram 1,1,54387.2437,54441.90469,162.162,2878.379,3/12/23 13:00,13,HmpSng,NA
25,25,Spectrogram 1,1,59116.2096,59164.95961,206.388,914.005,3/12/23 14:19,14,HmpSng,NA
26,26,Spectrogram 1,1,62359.31136,62398.08253,58.968,781.327,3/12/23 15:13,15,HmpSng,NA
27,27,Spectrogram 1,1,71549.15015,71603.30267,66.339,685.504,3/12/23 17:46,17,HmpSng,NA
28,28,Spectrogram 1,1,73752.44669,73794.9043,121.621,541.769,3/12/23 18:23,18,HmpSng,NA
29,29,Spectrogram 1,1,75784.84505,75874.20941,121.621,777.641,3/12/23 18:57,18,HmpSng,NA
30,30,Spectrogram 1,1,85117.22109,85164.50921,136.364,556.511,3/12/23 21:32,21,HmpSng,NA
31,31,Spectrogram 1,1,91731.88782,91780.32,383.292,1562.654,3/12/23 23:22,23,HmpSng,NA
32,32,Spectrogram 1,1,93154.04038,93206.66746,132.678,1208.845,3/12/23 23:46,23,HmpSng,NA
33,33,Spectrogram 1,1,95486.87069,95507.84526,103.194,515.971,3/13/23 0:25,0,HmpSng,NA
34,34,Spectrogram 1,1,96283.77662,96339.70879,161.392,413.547,3/13/23 0:38,0,Hmp,NA
35,35,Spectrogram 1,1,97847.34573,97944.38788,162.686,1230.958,3/13/23 1:04,1,HmpSng,NA
36,36,Spectrogram 1,1,100020.8963,100081.5319,147.42,682.39,3/13/23 1:40,1,HmpSng,NA
37,37,Spectrogram 1,1,100325.7652,100392.8838,200.431,704.741,3/13/23 1:46,1,HmpSng,NA
38,38,Spectrogram 1,1,100994.6126,101034.4007,84.584,608.291,3/13/23 1:57,1,HmpSng,NA
39,39,Spectrogram 1,1,101787.5786,101878.8498,155.172,730.603,3/13/23 2:10,2,HmpSng,NA
