,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
1,1,Spectrogram 1,1,5480.217676,5542.721183,6.1,733.2,3/11/23 22:07,22,HmpSng,
2,2,Spectrogram 1,1,6141.964651,6177.862796,378,768,3/11/23 22:18,22,HmpSng,
3,3,Spectrogram 1,1,7452.449474,7515.716772,192,660,3/11/23 22:40,22,HmpSng,
4,4,Spectrogram 1,1,8458.762902,8544.943909,126,744,3/11/23 22:56,22,HmpSng,
5,5,Spectrogram 1,1,8893.331438,9038.324299,168,702,3/11/23 23:04,23,HmpSng,
6,6,Spectrogram 1,1,9490.150695,9599.500008,144,768,3/11/23 23:14,23,HmpSng,
7,7,Spectrogram 1,1,9658.540349,9731.355026,138,1002,3/11/23 23:16,23,HmpSng,
8,8,Spectrogram 1,1,12701.88362,12817.08866,168,822,3/12/23 0:07,0,HmpSng,
9,9,Spectrogram 1,1,13297.78935,13426.36072,174,552,3/12/23 0:17,0,HmpSng,
10,10,Spectrogram 1,1,14131.84666,14215.4817,168,798,3/12/23 0:31,0,HmpSng,
11,11,Spectrogram 1,1,15267.14163,15402.33251,180,588,3/12/23 0:50,0,HmpSng,
12,12,Spectrogram 1,1,15748.40443,15827.07484,156,726,3/12/23 0:58,0,HmpSng,
13,13,Spectrogram 1,1,16205.88818,16354.3181,174,546,3/12/23 1:06,1,HmpSng,
14,14,Spectrogram 1,1,16384.36002,16436.80695,168,798,3/12/23 1:09,1,HmpSng,
15,15,Spectrogram 1,1,17090.35694,17231.65815,192,726,3/12/23 1:20,1,HmpSng,
16,16,Spectrogram 1,1,18489.46864,18556.17299,204,678,3/12/23 1:44,1,HmpSng,
17,17,Spectrogram 1,1,20657.6667,20698.91138,198,594,3/12/23 3:20,3,HmpSng,
18,18,Spectrogram 1,1,21535.38944,21613.04146,174,798,3/12/23 3:34,3,HmpSng,
19,19,Spectrogram 1,1,21703.14252,21751.7705,180,708,3/12/23 3:37,3,HmpSng,
20,20,Spectrogram 1,1,22029.35619,22184.27832,186,654,3/12/23 3:43,3,HmpSng,
21,21,Spectrogram 1,1,22728.12163,22828.05087,210,708,3/12/23 3:54,3,HmpSng,
22,22,Spectrogram 1,1,26874.94249,26986.58317,72,720,3/12/23 4:03,4,HmpSng,
23,23,Spectrogram 1,1,27992.3937,28077.30172,150,678,3/12/23 4:22,4,HmpSng,
24,24,Spectrogram 1,1,28504.0819,28564.16674,144,666,3/12/23 4:31,4,HmpSng,
25,25,Spectrogram 1,1,29200.27715,29260.87118,168,876,3/12/23 4:42,4,HmpSng,
26,26,Spectrogram 1,1,29672.88475,29797.38257,180,972,3/12/23 4:50,4,HmpSng,
27,27,Spectrogram 1,1,35095.26378,35149.11099,162,558,3/12/23 6:20,6,HmpSng,
28,28,Spectrogram 1,1,36075.84324,36160.87856,126,690,3/12/23 6:37,6,HmpSng,
29,29,Spectrogram 1,1,36549.1134,36632.11195,168,642,3/12/23 6:45,6,HmpSng,
30,30,Spectrogram 1,1,38495.15017,38647.27174,162,588,3/12/23 7:17,7,HmpSng,
31,31,Spectrogram 1,1,38714.48021,38842.66968,144,1032,3/12/23 7:21,7,HmpSng,
32,32,Spectrogram 1,1,39236.63295,39322.68666,186,828,3/12/23 7:29,7,HmpSng,
33,33,Spectrogram 1,1,39511.62307,39602.00493,174,726,3/12/23 7:34,7,HmpSng,
34,34,Spectrogram 1,1,41097.25251,41189.54384,192,702,3/12/23 8:00,8,HmpSng,
35,35,Spectrogram 1,1,41216.65839,41262.10392,234,762,3/12/23 8:02,8,HmpSng,
36,36,Spectrogram 1,1,41586.43497,41724.04452,60,528,3/12/23 8:09,8,HmpSng,
37,37,Spectrogram 1,1,41883.8533,41995.62128,0,906,3/12/23 8:14,8,HmpSng,
38,38,Spectrogram 1,1,43526.00322,43644.26342,0,924,3/12/23 8:41,8,HmpSng,
39,39,Spectrogram 1,1,44720.85147,44875.51901,0,1110,3/12/23 9:01,9,HmpSng,
40,40,Spectrogram 1,1,45289.08623,45374.12155,168,1080,3/12/23 9:10,9,HmpSng,
41,41,Spectrogram 1,1,48209.28707,48289.10316,78,738,3/12/23 9:59,9,HmpSng,
42,42,Spectrogram 1,1,48340.76032,48396.26242,144,942,3/12/23 10:01,10,HmpSng,
43,43,Spectrogram 1,1,49958.46833,50049.48667,6,864,3/12/23 10:28,10,HmpSng,
44,44,Spectrogram 1,1,50716.65692,50771.39523,186,912,3/12/23 10:41,10,HmpSng,
45,45,Spectrogram 1,1,53596.63148,53663.46313,30,918,3/12/23 11:29,11,HmpSng,
46,46,Spectrogram 1,1,55619.93838,55703.70071,42,906,3/12/23 12:02,12,HmpSng,
47,47,Spectrogram 1,1,55869.59612,55941.13781,174,948,3/12/23 12:07,12,HmpSng,
48,48,Spectrogram 1,1,56549.6487,56692.09559,132,702,3/12/23 12:18,12,HmpSng,
49,49,Spectrogram 1,1,58984.63711,59073.49139,0,1254,3/12/23 12:59,12,HmpSng,
50,50,Spectrogram 1,1,59732.74261,59776.15136,0,1014,3/12/23 13:11,13,HmpSng,
51,51,Spectrogram 1,1,60348.79072,60480.79915,150,930,3/12/23 13:21,13,HmpSng,
52,52,Spectrogram 1,1,61776.21171,61830.56812,0,942,3/12/23 13:45,13,HmpSng,
53,53,Spectrogram 1,1,63841.45007,63925.46701,138,966,3/12/23 14:19,14,HmpSng,
54,54,Spectrogram 1,1,64448.33269,64515.16435,126,654,3/12/23 14:30,14,HmpSng,
55,55,Spectrogram 1,1,65920.86824,65993.17372,210,576,3/12/23 14:54,14,HmpSng,
56,56,Spectrogram 1,1,65952.56553,66002.08461,1158,1788,3/12/23 14:55,14,Other,odontocetes
57,57,Spectrogram 1,1,66776.13466,66873.26333,102,678,3/12/23 15:08,15,HmpSng,
58,58,Spectrogram 1,1,68383.78671,68477.35103,132,936,3/12/23 15:35,15,HmpSng,
59,59,Spectrogram 1,1,68642.4039,68716.87345,168,942,3/12/23 15:39,15,HmpSng,
60,60,Spectrogram 1,1,72040.91266,72150.38927,24,1146,3/12/23 16:36,16,HmpSng,
61,61,Spectrogram 1,1,73300.40172,73377.16265,0,1128,3/12/23 16:57,16,HmpSng,
62,62,Spectrogram 1,1,73790.09196,73863.16123,78,702,3/12/23 17:05,17,HmpSng,
63,63,Spectrogram 1,1,74658.08447,74799.13108,180,912,3/12/23 17:20,17,HmpSng,
64,64,Spectrogram 1,1,75069.94342,75119.2079,144,780,3/12/23 17:27,17,HmpSng,
65,65,Spectrogram 1,1,75404.63649,75497.8189,66,720,3/12/23 17:32,17,HmpSng,
66,66,Spectrogram 1,1,75883.76237,75987.12866,0,834,3/12/23 17:40,17,HmpSng,
67,67,Spectrogram 1,1,76380.20084,76465.23616,0,906,3/12/23 17:48,17,HmpSng,
68,68,Spectrogram 1,1,77284.3508,77402.3564,0,972,3/12/23 18:04,18,HmpSng,
69,69,Spectrogram 1,1,78151.25318,78263.14846,120,588,3/12/23 18:18,18,HmpSng,
70,70,Spectrogram 1,1,79883.42617,79984.75568,234,744,3/12/23 18:47,18,HmpSng,
71,71,Spectrogram 1,1,81561.72883,81626.14181,126,972,3/12/23 19:15,19,HmpSng,
72,72,Spectrogram 1,1,82385.73165,82440.34266,54,972,3/12/23 19:29,19,HmpSng,
73,73,Spectrogram 1,1,83054.86318,83104.50955,108,780,3/12/23 19:40,19,HmpSng,
74,74,Spectrogram 1,1,83717.04394,83792.27728,288,906,3/12/23 19:51,19,HmpSng,
75,75,Spectrogram 1,1,84185.09487,84264.91095,138,780,3/12/23 19:59,19,HmpSng,
76,76,Spectrogram 1,1,88144.00007,88225.85293,72,942,3/12/23 21:05,21,HmpSng,
77,77,Spectrogram 1,1,90437.20515,90497.79918,48,948,3/12/23 21:43,21,HmpSng,
78,78,Spectrogram 1,1,90829.76813,90908.31124,126,882,3/12/23 21:49,21,HmpSng,
79,79,Spectrogram 1,1,94603.88392,94652.8938,246,762,3/12/23 22:52,22,HmpSng,
80,80,Spectrogram 1,1,95769.80921,95878.52203,156,1032,3/12/23 23:12,23,HmpSng,
81,81,Spectrogram 1,1,96091.94924,96214.41029,228,618,3/12/23 23:17,23,HmpSng,
82,82,Spectrogram 1,1,98164.34247,98240.5942,126,672,3/12/23 23:52,23,HmpSng,
83,83,Spectrogram 1,1,98363.10534,98454.50558,0,792,3/12/23 23:55,23,HmpSng,
84,84,Spectrogram 1,1,101725.0567,101803.5998,156,1224,3/13/23 0:51,0,Hmp,
85,85,Spectrogram 1,1,102546.1689,102584.2311,312,1674,3/13/23 1:05,1,Hmp,
86,86,Spectrogram 1,1,102875.3881,102925.5437,144,810,3/13/23 1:10,1,HmpSng,
87,87,Spectrogram 1,1,103115.1668,103190.4002,144,696,3/13/23 1:14,1,HmpSng,
88,88,Spectrogram 1,1,104586.0232,104629.4319,78,696,3/13/23 1:39,1,HmpSng,
89,89,Spectrogram 1,1,104119.369,104149.2841,144,1614,3/13/23 1:31,1,Hmp,
90,90,Spectrogram 1,1,104791.3254,104876.8699,144,744,3/13/23 1:42,1,HmpSng,
91,91,Spectrogram 1,1,105156.6963,105221.3639,18,762,3/13/23 1:48,1,HmpSng,
92,92,Spectrogram 1,1,105389.2692,105499.1277,144,888,3/13/23 1:52,1,HmpSng,
93,93,Spectrogram 1,1,106347.139,106420.2083,372,648,3/13/23 2:08,2,HmpSng,
94,94,Spectrogram 1,1,107082.1083,107159.2511,138,864,3/13/23 2:20,2,HmpSng,
95,95,Spectrogram 1,1,108269.9555,108309.1634,114,912,3/13/23 2:40,2,HmpSng,
96,96,Spectrogram 1,1,108539.2172,108636.3459,270,1056,3/13/23 2:44,2,HmpSng,
97,97,Spectrogram 1,1,108870.0913,108990.5156,204,720,3/13/23 2:50,2,HmpSng,
98,98,Spectrogram 1,1,109198.0376,109308.7872,144,540,3/13/23 2:55,2,HmpSng,
99,99,Spectrogram 1,1,109548.5156,109641.0616,138,492,3/13/23 3:01,3,HmpSng,
100,100,Spectrogram 1,1,109884.3544,109965.0616,162,864,3/13/23 3:07,3,HmpSng,
101,101,Spectrogram 1,1,110404.571,110490.6247,150,978,3/13/23 3:16,3,HmpSng,
102,102,Spectrogram 1,1,111649.5243,111728.322,180,780,3/13/23 3:36,3,HmpSng,
103,103,Spectrogram 1,1,113237.827,113318.2796,162,696,3/13/23 4:03,4,HmpSng,
104,104,Spectrogram 1,1,116975.0023,117064.3658,210,930,3/13/23 5:05,5,HmpSng,
105,105,Spectrogram 1,1,117813.1352,117886.3318,312,972,3/13/23 5:19,5,HmpSng,
