,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
1,1,Spectrogram 1,1,1209.252619,1239.125487,95.823,560.197,3/11/23 19:50,19,Hmp,
2,2,Spectrogram 1,1,2273.591634,2304.862806,117.936,773.956,3/11/23 20:07,20,HmpSng,
3,3,Spectrogram 1,1,5881.569248,5998.645465,199.017,464.373,3/11/23 21:08,21,Hmp,
4,4,Spectrogram 1,1,6895.008407,6930.728729,125.307,781.327,3/11/23 21:24,21,HmpSng,
5,5,Spectrogram 1,1,8430.471631,8507.88685,51.597,810.811,3/11/23 21:50,21,HmpSng,
6,6,Spectrogram 1,1,9093.216637,9131.352213,132.678,943.489,3/11/23 22:01,22,Hmp,
7,7,Spectrogram 1,1,9514.843377,9549.800988,81.081,788.698,3/11/23 22:08,22,HmpSng,
8,8,Spectrogram 1,1,12837.6485,12935.40269,44.226,1009.828,3/11/23 23:03,23,HmpSng,
9,9,Spectrogram 1,1,16381.69071,16435.97035,88.452,508.6,3/12/23 0:03,0,Hmp,
10,10,Spectrogram 1,1,16856.50411,16906.08036,184.275,796.069,3/12/23 0:10,0,HmpSng,
11,11,Spectrogram 1,1,20167.94476,20256.41929,73.71,1149.877,3/12/23 1:06,1,HmpSng,
12,12,Spectrogram 1,1,23661.64818,23756.60576,140.049,1083.538,3/12/23 2:04,2,HmpSng,
13,13,Spectrogram 1,1,27279.54646,27339.03796,95.823,722.359,3/12/23 3:04,3,HmpSng,
14,14,Spectrogram 1,1,30827.02104,30921.72439,213.759,869.779,3/12/23 4:03,4,HmpSng,
15,15,Spectrogram 1,1,31486.33451,31575.06329,176.904,1031.941,3/12/23 4:14,4,HmpSng,
16,16,Spectrogram 1,1,34346.27522,34450.89381,125.307,530.713,3/12/23 5:02,5,HmpSng,
17,17,Spectrogram 1,1,37978.5379,38059.38532,221.13,434.889,3/12/23 6:02,6,Hmp,
18,18,Spectrogram 1,1,38734.25818,38853.87677,73.71,574.939,3/12/23 6:15,6,HmpSng,
19,19,Spectrogram 1,1,39410.60562,39499.71575,81.081,685.504,3/12/23 6:26,6,HmpSng,
20,20,Spectrogram 1,1,40020.34276,40110.34272,110.565,700.246,3/12/23 6:36,6,HmpSng,
21,21,Spectrogram 1,1,41732.12238,41810.42743,44.226,818.182,3/12/23 7:05,7,HmpSng,
22,22,Spectrogram 1,1,45057.08852,45119.8851,73.71,840.295,3/12/23 8:00,8,HmpSng,
23,23,Spectrogram 1,1,48810.79437,48893.67569,147.42,1407.862,3/12/23 9:03,9,HmpSng,
24,24,Spectrogram 1,1,52335.38761,52436.31977,110.565,803.44,3/12/23 10:02,10,HmpSng,
25,25,Spectrogram 1,1,56273.21809,56358.26043,117.936,796.069,3/12/23 11:07,11,HmpSng,
26,26,Spectrogram 1,1,58356.08243,58404.89596,95.823,965.602,3/12/23 11:42,11,HmpSng,
27,27,Spectrogram 1,1,59959.42989,60069.38747,117.936,737.101,3/12/23 12:09,12,HmpSng,
28,28,Spectrogram 1,1,63679.32812,63714.53997,213.759,796.069,3/12/23 13:11,13,HmpSng,
