,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
1,1,Spectrogram 1,1,1286.770932,1344.101414,157.563,775.21,3/11/2023 19:21,19,HmpSng,
2,2,Spectrogram 1,1,2672.008013,2732.516459,113.445,661.765,3/11/2023 19:44,19,HmpSng,
3,3,Spectrogram 1,1,3605.490831,3643.37217,113.445,680.672,3/11/2023 20:00,20,HmpSng,
4,4,Spectrogram 1,1,7446.584073,7542.050131,157.563,1102.941,3/11/2023 21:04,21,HmpSng,
5,5,Spectrogram 1,1,11037.91457,11143.16876,69.328,548.319,3/11/2023 22:03,22,HmpSng,
6,6,Spectrogram 1,1,15067.70271,15119.69422,126.05,661.765,3/11/2023 23:11,23,HmpSng,
7,7,Spectrogram 1,1,17162.77052,17273.87216,126.05,592.437,3/11/2023 23:46,23,HmpSng,
8,8,Spectrogram 1,1,18633.73661,18717.88911,132.353,907.563,3/12/2023 0:10,0,HmpSng,
9,9,Spectrogram 1,1,21971.49047,22024.62604,81.933,712.185,3/12/2023 1:06,1,HmpSng,
10,10,Spectrogram 1,1,24661.80406,24756.12605,100.84,1121.849,3/12/2023 1:51,1,HmpSng,
11,11,Spectrogram 1,1,26232.86224,26324.51474,132.353,737.395,3/12/2023 2:17,2,HmpSng,
12,12,Spectrogram 1,1,29164.62419,29227.42077,75.63,863.445,3/12/2023 3:06,3,HmpSng,
13,13,Spectrogram 1,1,31592.20894,31696.70042,107.143,813.025,3/12/2023 3:46,3,HmpSng,
14,14,Spectrogram 1,1,32887.70046,32961.68348,75.63,712.185,3/12/2023 4:08,4,HmpSng,
15,15,Spectrogram 1,1,36312.32757,36446.94615,75.63,844.538,3/12/2023 5:05,5,HmpSng,
16,16,Spectrogram 1,1,36490.85274,36568.39508,144.958,787.815,3/12/2023 5:08,5,HmpSng,
17,17,Spectrogram 1,1,39715.59851,39825.17473,157.563,724.79,3/12/2023 6:01,6,HmpSng,
18,18,Spectrogram 1,1,41999.23401,42074.99669,56.723,1027.311,3/12/2023 6:39,6,HmpSng,
19,19,Spectrogram 1,1,42435.52981,42580.19076,44.118,1121.849,3/12/2023 6:47,6,HmpSng,
20,20,Spectrogram 1,1,43302.73301,43404.93635,94.538,926.471,3/12/2023 7:01,7,HmpSng,humpback speghetti
21,21,Spectrogram 1,1,46891.13839,46978.97733,107.143,1084.034,3/12/2023 8:01,8,HmpSng,
22,22,Spectrogram 1,1,50772.90833,50840.15406,132.353,686.975,3/12/2023 9:06,9,HmpSng,
23,23,Spectrogram 1,1,51291.19603,51304.41636,88.235,535.714,3/12/2023 9:14,9,HmpSoc,
24,24,Spectrogram 1,1,54371.10164,54406.44061,170.168,1121.849,3/12/2023 10:06,10,HmpSng,
25,25,Spectrogram 1,1,54637.13532,54699.16919,182.773,1380.252,3/12/2023 10:10,10,HmpSng,
26,26,Spectrogram 1,1,58693.74407,58769.12539,144.958,762.605,3/12/2023 11:18,11,HmpSng,
27,27,Spectrogram 1,1,59429.9642,59477.76079,75.63,1065.126,3/12/2023 11:30,11,HmpSng,
28,28,Spectrogram 1,1,60926.27782,61089.37096,119.748,1487.395,3/12/2023 11:55,11,HmpSng,
29,29,Spectrogram 1,1,61575.80257,61697.58218,56.723,1147.059,3/12/2023 12:06,12,HmpSng,
30,30,Spectrogram 1,1,64814.02166,64897.0301,107.143,1430.672,3/12/2023 13:00,13,HmpSng,
31,31,Spectrogram 1,1,68591.63048,68696.37619,44.118,705.882,3/12/2023 14:03,14,HmpSng,
32,32,Spectrogram 1,1,70970.87249,71065.63206,126.761,813.38,3/12/2023 14:42,14,HmpSng,
33,33,Spectrogram 1,1,72628.94898,72720.10278,73.944,781.69,3/12/2023 15:10,15,HmpSng,
34,34,Spectrogram 1,1,75727.14028,75834.15946,147.887,1394.366,3/12/2023 16:02,16,HmpSng,
35,35,Spectrogram 1,1,79433.52357,79543.71583,52.817,855.634,3/12/2023 17:03,17,HmpSng,
36,36,Spectrogram 1,1,82886.14738,82964.89734,169.014,686.62,3/12/2023 18:01,18,HmpSng,
37,37,Spectrogram 1,1,83927.55085,84045.53157,105.634,866.197,3/12/2023 18:18,18,HmpSng,
38,38,Spectrogram 1,1,85096.59825,85236.21357,105.634,1056.338,3/12/2023 18:38,18,HmpSng,
39,39,Spectrogram 1,1,86559.82482,86688.12465,111.111,1061.728,3/12/2023 19:02,19,HmpSng,
40,40,Spectrogram 1,1,90668.55621,90734.51183,98.765,728.395,3/12/2023 20:11,20,Hmp,
41,41,Spectrogram 1,1,92263.46588,92358.69287,135.802,740.741,3/12/2023 20:37,20,HmpSng,
42,42,Spectrogram 1,1,93673.75685,93798.25521,98.765,753.086,3/12/2023 21:01,21,HmpSng,
43,43,Spectrogram 1,1,99048.26609,99060.81097,0,1296.296,3/12/2023 22:30,22,HmpSoc,
44,44,Spectrogram 1,1,100239.858,100284.3353,98.765,1222.222,3/12/2023 22:50,22,HmpSng,
45,45,Spectrogram 1,1,101228.5843,101272.4913,135.802,777.778,3/12/2023 23:07,23,HmpSng,
46,46,Spectrogram 1,1,101208.6265,101232.3858,98.765,2197.531,3/12/2023 23:06,23,HmpSoc,feeding?
47,47,Spectrogram 1,1,101588.375,101666.6854,148.148,2592.593,3/12/2023 23:13,23,HmpSng,
48,48,Spectrogram 1,1,102075.3252,102120.7529,469.136,2666.667,3/12/2023 23:21,23,HmpSng,humpback speghetti
49,49,Spectrogram 1,1,104418.9731,104513.4398,98.765,2666.667,3/13/2023 0:00,0,HmpSng,
50,50,Spectrogram 1,1,105637.0423,105647.8765,0,802.469,3/13/2023 0:20,0,HmpSoc,
51,51,Spectrogram 1,1,106772.9427,106829.2045,135.802,691.358,3/13/2023 0:39,0,HmpSng,
52,52,Spectrogram 1,1,108300.8893,108370.8365,98.765,1123.457,3/13/2023 1:04,1,HmpSng,
53,53,Spectrogram 1,1,111883.5153,111958.0243,98.765,580.247,3/13/2023 2:04,2,HmpSng,
54,54,Spectrogram 1,1,112298.9978,112370.2754,86.42,864.198,3/13/2023 2:11,2,HmpSng,
55,55,Spectrogram 1,1,113635.293,113692.6953,111.111,1148.148,3/13/2023 2:33,2,HmpSng,
56,56,Spectrogram 1,1,115036.8406,115120.6631,111.111,901.235,3/13/2023 2:57,2,HmpSng,
57,57,Spectrogram 1,1,115718.4835,115776.8361,111.111,950.617,3/13/2023 3:08,3,HmpSng,
58,58,Spectrogram 1,1,116167.4188,116251.2414,74.074,938.272,3/13/2023 3:16,3,HmpSng,
