,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
1,1,Spectrogram 1,1,2628.735188,2694.074141,124.784,998.268,3/11/23 22:13,22,HmpSng,NA
2,2,Spectrogram 1,1,5208.990601,5256.532952,180.59,954.546,3/11/23 22:56,22,HmpSng,NA
3,3,Spectrogram 1,1,6677.846441,6776.871819,162.162,862.408,3/11/23 23:21,23,HmpSng,NA
4,4,Spectrogram 1,1,13432.90577,13504.60065,140.049,656.02,3/12/23 1:13,1,HmpSng,NA
5,5,Spectrogram 1,1,14795.38877,14888.5667,128.992,534.398,3/12/23 1:36,1,Hmp,NA
6,6,Spectrogram 1,1,16597.59885,16652.51408,147.42,648.649,3/12/23 2:06,2,Hmp,NA
7,7,Spectrogram 1,1,18371.0793,18460.6979,184.275,597.052,3/12/23 2:36,2,Hmp,NA
8,8,Spectrogram 1,1,21253.77404,21387.24856,106.879,866.093,3/12/23 3:24,3,HmpSng,NA
9,9,Spectrogram 1,1,26364.12128,26398.31618,316.871,840.213,3/12/23 4:49,4,Hmp,NA
10,10,Spectrogram 1,1,27114.94683,27141.51461,283.599,737.357,3/12/23 5:01,5,Hmp,NA
11,11,Spectrogram 1,1,31523.07545,31559.93984,243.243,707.617,3/12/23 6:15,6,Hmp,NA
12,12,Spectrogram 1,1,33853.15902,33952.31152,235.872,1024.57,3/12/23 6:54,6,HmpSng,NA
13,13,Spectrogram 1,1,35386.00301,35431.7657,13.404,942.151,3/12/23 7:19,7,HmpSng,NA
14,14,Spectrogram 1,1,36626.60922,36713.68545,132.678,737.101,3/12/23 7:40,7,HmpSng,NA
15,15,Spectrogram 1,1,37286.68549,37386.47358,176.904,840.295,3/12/23 7:51,7,HmpSng,NA
16,16,Spectrogram 1,1,39710.6758,39766.35374,165.984,1389.571,3/12/23 8:31,8,HmpSng,NA
17,17,Spectrogram 1,1,39966.27019,40027.54135,95.823,737.101,3/12/23 8:36,8,HmpSng,NA
18,18,Spectrogram 1,1,41597.90818,41689.18936,133.333,1790.937,3/12/23 9:03,9,HmpSng,NA
19,19,Spectrogram 1,1,42236.36086,42347.96513,228.501,1822.222,3/12/23 9:13,9,HmpSng,NA
20,20,Spectrogram 1,1,42800.02447,42894.09222,125.307,2697.789,3/12/23 9:23,9,HmpSng,NA
21,21,Spectrogram 1,1,43311.70242,43430.30406,81.081,1002.457,3/12/23 9:31,9,HmpSng,NA
22,22,Spectrogram 1,1,46870.61676,46970.15061,162.162,825.553,3/12/23 10:31,10,HmpSng,NA
